,Caption,tokenized,freqdist,tokens_WSW,normalized,tokens_stemmed,merged
5,hehwowkwowk waktu pilgub jakarta juga peringkat mulu jadi jadi aja,"['hehwowkwowk', 'waktu', 'pilgub', 'jakarta', 'juga', 'peringkat', 'mulu', 'jadi', 'jadi', 'aja']",<FreqDist with 9 samples and 10 outcomes>,"['hehwowkwowk', 'pilgub', 'jakarta', 'peringkat', 'mulu']","['hehwowkwowk', 'pilgub', 'jakarta', 'peringkat', 'mulu']","['hehwowkwowk', 'pilgub', 'jakarta', 'peringkat', 'mulu']",hehwowkwowk pilgub jakarta peringkat mulu
6,menang survei kok bangga liat aja dilapangan masyarakat sdh mulai cerdas,"['menang', 'survei', 'kok', 'bangga', 'liat', 'aja', 'dilapangan', 'masyarakat', 'sdh', 'mulai', 'cerdas']",<FreqDist with 11 samples and 11 outcomes>,"['menang', 'survei', 'bangga', 'liat', 'dilapangan', 'masyarakat', 'cerdas']","['menang', 'survei', 'bangga', 'lihat', 'dilapangan', 'masyarakat', 'cerdas']","['menang', 'survei', 'bangga', 'lihat', 'lapang', 'masyarakat', 'cerdas']",menang survei bangga lihat lapang masyarakat cerdas
7,pernyataan seperti ini jadi keinget sama pernyataan para pakar dan juga media soal pesimis nya formula  dapat digelar dalam jangka waktu bulan padahal tinggal menikmati proses nanti tanggal mainnya juga ada kompetisi itu ga gegabah harus secara matang dipikirkan saya yg mendukung anies aja ga ikutan satupun survei buat milih anies karna buang waktu,"['pernyataan', 'seperti', 'ini', 'jadi', 'keinget', 'sama', 'pernyataan', 'para', 'pakar', 'dan', 'juga', 'media', 'soal', 'pesimis', 'nya', 'formula', 'dapat', 'digelar', 'dalam', 'jangka', 'waktu', 'bulan', 'padahal', 'tinggal', 'menikmati', 'proses', 'nanti', 'tanggal', 'mainnya', 'juga', 'ada', 'kompetisi', 'itu', 'ga', 'gegabah', 'harus', 'secara', 'matang', 'dipikirkan', 'saya', 'yg', 'mendukung', 'anies', 'aja', 'ga', 'ikutan', 'satupun', 'survei', 'buat', 'milih', 'anies', 'karna', 'buang', 'waktu']",<FreqDist with 49 samples and 54 outcomes>,"['pernyataan', 'keinget', 'pernyataan', 'pakar', 'media', 'pesimis', 'formula', 'digelar', 'jangka', 'tinggal', 'menikmati', 'proses', 'tanggal', 'mainnya', 'kompetisi', 'gegabah', 'matang', 'dipikirkan', 'mendukung', 'anies', 'ikutan', 'satupun', 'survei', 'milih', 'anies', 'karna', 'buang']","['pernyataan', 'keinget', 'pernyataan', 'pakar', 'media', 'pesimis', 'formula', 'digelar', 'jangka', 'tinggal', 'menikmati', 'proses', 'tanggal', 'mainnya', 'kompetisi', 'gegabah', 'matang', 'dipikirkan', 'mendukung', 'anies', 'ikutan', 'satupun', 'survei', 'milih', 'anies', 'karna', 'buang']","['nyata', 'keinget', 'nyata', 'pakar', 'media', 'pesimis', 'formula', 'gelar', 'jangka', 'tinggal', 'nikmat', 'proses', 'tanggal', 'main', 'kompetisi', 'gegabah', 'matang', 'pikir', 'dukung', 'anies', 'ikut', 'satu', 'survei', 'milih', 'anies', 'karna', 'buang']",nyata keinget nyata pakar media pesimis formula gelar jangka tinggal nikmat proses tanggal main kompetisi gegabah matang pikir dukung anies ikut satu survei milih anies karna buang
8,tiga aja di jegal di takuti bagaimana kalau no satu pasti kejang insya allah pak anies presiden,"['tiga', 'aja', 'di', 'jegal', 'di', 'takuti', 'bagaimana', 'kalau', 'no', 'satu', 'pasti', 'kejang', 'insya', 'allah', 'pak', 'anies', 'presiden']",<FreqDist with 16 samples and 17 outcomes>,"['jegal', 'takuti', 'no', 'kejang', 'insya', 'allah', 'anies', 'presiden']","['jegal', 'takuti', 'no', 'kejang', 'insya', 'allah', 'anies', 'presiden']","['jegal', 'takut', 'no', 'kejang', 'insya', 'allah', 'anies', 'presiden']",jegal takut no kejang insya allah anies presiden
9,lah emang konsep perubahan yang di tawarkan oleh ganjar dan prabowo apa ya,"['lah', 'emang', 'konsep', 'perubahan', 'yang', 'di', 'tawarkan', 'oleh', 'ganjar', 'dan', 'prabowo', 'apa', 'ya']",<FreqDist with 13 samples and 13 outcomes>,"['emang', 'konsep', 'perubahan', 'tawarkan', 'ganjar', 'prabowo']","['emang', 'konsep', 'perubahan', 'tawarkan', 'ganjar', 'prabowo']","['emang', 'konsep', 'ubah', 'tawar', 'ganjar', 'prabowo']",emang konsep ubah tawar ganjar prabowo
10,sampai skrg saya bingung apa ide dan gagasan perubahan dari anies sampai skrg ini anies masih berkutat menyinggung program program jokowi belum ada suatu hal yang besar ide perubahan yang selalu diusung oleh anies,"['sampai', 'skrg', 'saya', 'bingung', 'apa', 'ide', 'dan', 'gagasan', 'perubahan', 'dari', 'anies', 'sampai', 'skrg', 'ini', 'anies', 'masih', 'berkutat', 'menyinggung', 'program', 'program', 'jokowi', 'belum', 'ada', 'suatu', 'hal', 'yang', 'besar', 'ide', 'perubahan', 'yang', 'selalu', 'diusung', 'oleh', 'anies']",<FreqDist with 26 samples and 34 outcomes>,"['skrg', 'bingung', 'ide', 'gagasan', 'perubahan', 'anies', 'skrg', 'anies', 'berkutat', 'menyinggung', 'program', 'program', 'jokowi', 'ide', 'perubahan', 'diusung', 'anies']","['sekarang', 'bingung', 'ide', 'gagasan', 'perubahan', 'anies', 'sekarang', 'anies', 'berkutat', 'menyinggung', 'program', 'program', 'jokowi', 'ide', 'perubahan', 'diusung', 'anies']","['sekarang', 'bingung', 'ide', 'gagas', 'ubah', 'anies', 'sekarang', 'anies', 'kutat', 'singgung', 'program', 'program', 'jokowi', 'ide', 'ubah', 'usung', 'anies']",sekarang bingung ide gagas ubah anies sekarang anies kutat singgung program program jokowi ide ubah usung anies
11,waktu mendekati pilkada dki juga posisi elektabilitas anies urutan ketiga itu hasil survei litbang kompas loh,"['waktu', 'mendekati', 'pilkada', 'dki', 'juga', 'posisi', 'elektabilitas', 'anies', 'urutan', 'ketiga', 'itu', 'hasil', 'survei', 'litbang', 'kompas', 'loh']",<FreqDist with 16 samples and 16 outcomes>,"['mendekati', 'pilkada', 'dki', 'posisi', 'elektabilitas', 'anies', 'urutan', 'ketiga', 'hasil', 'survei', 'litbang', 'kompas']","['mendekati', 'pilkada', 'dki', 'posisi', 'elektabilitas', 'anies', 'urutan', 'ketiga', 'hasil', 'survei', 'litbang', 'kompas']","['dekat', 'pilkada', 'dki', 'posisi', 'elektabilitas', 'anies', 'urut', 'tiga', 'hasil', 'survei', 'litbang', 'kompas']",dekat pilkada dki posisi elektabilitas anies urut tiga hasil survei litbang kompas
12,karna pak anis kaga punya duit buat nyewa lembaga survey yg setiap minggu keluar hasil surveyitu biayanya brp buat nyewa lembaga survey yg setiap minggu keluar hasil survey,"['karna', 'pak', 'anis', 'kaga', 'punya', 'duit', 'buat', 'nyewa', 'lembaga', 'survey', 'yg', 'setiap', 'minggu', 'keluar', 'hasil', 'surveyitu', 'biayanya', 'brp', 'buat', 'nyewa', 'lembaga', 'survey', 'yg', 'setiap', 'minggu', 'keluar', 'hasil', 'survey']",<FreqDist with 18 samples and 28 outcomes>,"['karna', 'anis', 'kaga', 'duit', 'nyewa', 'lembaga', 'survey', 'minggu', 'hasil', 'surveyitu', 'biayanya', 'brp', 'nyewa', 'lembaga', 'survey', 'minggu', 'hasil', 'survey']","['karna', 'anies', 'tidak', 'duit', 'nyewa', 'lembaga', 'survey', 'minggu', 'hasil', 'surveyitu', 'biayanya', 'brp', 'nyewa', 'lembaga', 'survey', 'minggu', 'hasil', 'survey']","['karna', 'anies', 'tidak', 'duit', 'nyewa', 'lembaga', 'survey', 'minggu', 'hasil', 'surveyitu', 'biaya', 'brp', 'nyewa', 'lembaga', 'survey', 'minggu', 'hasil', 'survey']",karna anies tidak duit nyewa lembaga survey minggu hasil surveyitu biaya brp nyewa lembaga survey minggu hasil survey
13,yang dukung anies punya kepentingan memang ga berpendidikan bisa kena tipu dia,"['yang', 'dukung', 'anies', 'punya', 'kepentingan', 'memang', 'ga', 'berpendidikan', 'bisa', 'kena', 'tipu', 'dia']",<FreqDist with 12 samples and 12 outcomes>,"['dukung', 'anies', 'kepentingan', 'berpendidikan', 'kena', 'tipu']","['dukung', 'anies', 'kepentingan', 'berpendidikan', 'kena', 'tipu']","['dukung', 'anies', 'penting', 'didik', 'kena', 'tipu']",dukung anies penting didik kena tipu
14,kalo emang survei elektabilitas ini bisa jadi acuan hasil akhir harusnya ahok udah jadi gubernur dki tahun,"['kalo', 'emang', 'survei', 'elektabilitas', 'ini', 'bisa', 'jadi', 'acuan', 'hasil', 'akhir', 'harusnya', 'ahok', 'udah', 'jadi', 'gubernur', 'dki', 'tahun']",<FreqDist with 16 samples and 17 outcomes>,"['emang', 'survei', 'elektabilitas', 'acuan', 'hasil', 'ahok', 'udah', 'gubernur', 'dki']","['emang', 'survei', 'elektabilitas', 'acuan', 'hasil', 'ahok', 'udah', 'gubernur', 'dki']","['emang', 'survei', 'elektabilitas', 'acu', 'hasil', 'ahok', 'udah', 'gubernur', 'dki']",emang survei elektabilitas acu hasil ahok udah gubernur dki
